Seq,Year,DateOfCollection,Julian,DayNo,Longitude,Sample_ID,Population_Code,Family,Replicate,Region,Latitude,Longitude,Elev_m,SeedArea,SeedWidth_mm,Seed_length_mm,SeedShapeIndex,Dispersal_length_mm,Dispersal_and_seed_mm,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD<0,DD>5,DD<18,DD>18,NFFD,bFFP,sqrtSeedArea,sqrtSeedWidth_mm,sqrtSeed_length_mm,sqrtDispersal_length_mm,sqrtDispersal_and_seed_mm,sqrtSeedShapeIndex,Weight_Tot,Weight_S,Weight_D,,,,,,,,,,,,,,
15,2002,6/4/2002,2452430,154,-79.05655556,CAR-1-2-5,CAR-1-2,5,5,Alvar,44.68383333,-79.05655556,266,2.144,0.986,2.7,2.738336714,68.677,71.377,3,18,-14,32,989,466,13.1,38.8,1430,1526,5519,73,159,143,1.464240417,0.992975327,1.643167673,8.287158741,8.44849099,1.654792046,0.0091,0.0044,0.0047,,,,,,,,,,,,,,
16,2002,6/1/2002,2452427,151,-76.72755556,NAP-ASS2-5,NAP-ASS2,5,,Alvar,44.26236111,-76.72755556,124,2.753,1.364,3.669,2.689882698,52.534,56.203,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.659216683,1.167904106,1.91546339,7.248034216,7.496866012,1.640086186,0.0081,0.0044,0.0037,,,,,,,,,,,,,,
17,2002,6/1/2002,2452427,151,-76.72755556,NAP-ASS2-5,NAP-ASS2,5,,Alvar,44.26236111,-76.72755556,124,3.527,1.228,3.827,3.116449511,57.648,61.475,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.878030884,1.108151614,1.956271965,7.592628004,7.840599467,1.765346853,0.0081,0.0044,0.0037,,,,,,,,,,,,,,
18,2002,6/1/2002,2452427,151,-76.72755556,NAP-ASS2-5,NAP-ASS2,5,,Alvar,44.26236111,-76.72755556,124,3.858,0.664,3.822,5.756024096,19.654,23.476,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.964179218,0.814861951,1.954993606,4.433283208,4.845203814,2.399171544,0.0081,0.0044,0.0037,,,,,,,,,,,,,,
19,2002,6/1/2002,2452427,151,-76.72755556,NAP-ASS2-5,NAP-ASS2,5,,Alvar,44.26236111,-76.72755556,124,3.107,1.489,2.482,1.666890531,41.199,43.681,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.762668432,1.220245877,1.575436447,6.418644717,6.60916031,1.291081148,0.0081,0.0044,0.0037,,,,,,,,,,,,,,
20,2002,6/1/2002,2452427,151,-76.72755556,NAP-ASS2-5,NAP-ASS2,5,,Alvar,44.26236111,-76.72755556,124,3.155,1.598,3.48,2.177722153,41.346,44.826,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.776231967,1.264120247,1.865475811,6.430085536,6.695222177,1.475710728,0.0081,0.0044,0.0037,,,,,,,,,,,,,,
21,2002,5/24/2002,2452419,143,-76.08219444,WNY-CB2-3,WNY-CB2,3,,Alvar,44.096,-76.08219444,116,2.652,0.986,2.839,2.879310345,49.055,51.894,8.2,22.4,-5.1,27.5,960,398,18.9,56.1,564,2364,3954,386,177,129,1.628496239,0.992975327,1.684933233,7.00392747,7.203749024,1.696853071,0.0075,0.0043,0.0032,,,,,,,,,,,,,,
22,2002,5/24/2002,2452419,143,-76.08219444,WNY-CB2-3,WNY-CB2,3,,Alvar,44.096,76.08219444,116,2.322,0.871,2.855,3.277841561,42.822,45.677,8.2,22.4,-5.1,27.5,960,398,18.9,56.1,564,2364,3954,386,177,129,1.523811012,0.933273808,1.689674525,6.543852077,6.75847616,1.81048103,0.0075,0.0043,0.0032,,,,,,,,,,,,,,
23,2002,5/24/2002,2452419,143,-76.08219444,WNY-CB2-3,WNY-CB2,3,,Alvar,44.096,76.08219444,116,2.642,0.695,3.141,4.51942446,44.374,47.515,8.2,22.4,-5.1,27.5,960,398,18.9,56.1,564,2364,3954,386,177,129,1.625423022,0.8336666,1.772286659,6.661381238,6.893112505,2.125893803,0.0075,0.0043,0.0032,,,,,,,,,,,,,,
24,2002,5/24/2002,2452419,143,-76.08219444,WNY-CB2-3,WNY-CB2,3,,Alvar,44.096,76.08219444,116,2.781,1.176,2.83,2.406462585,52.939,55.769,8.2,22.4,-5.1,27.5,960,398,18.9,56.1,564,2364,3954,386,177,129,1.667633053,1.084435337,1.682260384,7.275919186,7.467864487,1.551277727,0.0075,0.0043,0.0032,,,,,,,,,,,,,,
25,2002,5/24/2002,2452419,143,-76.08219444,WNY-CB2-3,WNY-CB2,3,,Alvar,44.096,76.08219444,116,2.954,1.062,3.046,2.868173258,51.261,54.307,8.2,22.4,-5.1,27.5,960,398,18.9,56.1,564,2364,3954,386,177,129,1.718720454,1.030533842,1.745279347,7.159678764,7.369328328,1.693568203,0.0075,0.0043,0.0032,,,,,,,,,,,,,,
26,2002,6/24/2002,2452450,174,-82.58230556,MAN-FOX1-4,MAN-FOX1,4,,Alvar,45.89666667,-82.57738889,176,2.157,0.924,3.256,3.523809524,48.704,51.96,4.2,18.9,-4.4,23.3,857,398,16.6,47.4,937,1505,5112,98,114,143,1.46867287,0.961249187,1.804438971,6.978825116,7.208328516,1.877181271,0.0074,0.0043,0.0031,,,,,,,,,,,,,,
27,2002,6/24/2002,2452450,174,-82.58230556,MAN-FOX1-4,MAN-FOX1,4,,Alvar,45.89666667,-82.57738889,176,3.091,1.082,3.3,3.049907579,42.924,46.224,4.2,18.9,-4.4,23.3,857,398,16.6,47.4,937,1505,5112,98,114,143,1.758124,1.04019229,1.816590212,6.551641016,6.798823428,1.746398459,0.0074,0.0043,0.0031,,,,,,,,,,,,,,
28,2002,6/24/2002,2452450,174,-82.58230556,MAN-FOX1-4,MAN-FOX1,4,,Alvar,45.89666667,-82.57738889,176,2.94,1.235,3.18,2.574898785,49.529,52.709,4.2,18.9,-4.4,23.3,857,398,16.6,47.4,937,1505,5112,98,114,143,1.71464282,1.111305539,1.78325545,7.037684278,7.260096418,1.604649116,0.0074,0.0043,0.0031,,,,,,,,,,,,,,
29,2002,6/24/2002,2452450,174,-82.58230556,MAN-FOX1-4,MAN-FOX1,4,,Alvar,45.89666667,-82.57738889,176,2.811,1.048,3.627,3.460877863,47.461,51.088,4.2,18.9,-4.4,23.3,857,398,16.6,47.4,937,1505,5112,98,114,143,1.67660371,1.023718711,1.90446843,6.889194438,7.147587005,1.86034348,0.0074,0.0043,0.0031,,,,,,,,,,,,,,
30,2002,6/24/2002,2452450,174,-82.58230556,MAN-FOX1-4,MAN-FOX1,4,,Alvar,45.89666667,-82.57738889,176,3.298,1.284,3.739,2.911993769,49.52,53.259,4.2,18.9,-4.4,23.3,857,398,16.6,47.4,937,1505,5112,98,114,143,1.816039647,1.133137238,1.933649399,7.037044834,7.297876403,1.706456495,0.0074,0.0043,0.0031,,,,,,,,,,,,,,
31,2002,6/1/2002,2452427,151,-76.72755556,NAP-ASS2-2,NAP-ASS2,2,,Alvar,44.26236111,-76.72755556,124,1.501,0.774,2.186,2.824289406,36.732,38.918,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.225153052,0.879772698,1.478512766,6.06069303,6.238429289,1.680562229,0.0084,0.0041,0.0043,,,,,,,,,,,,,,
32,2002,6/1/2002,2452427,151,-76.72755556,NAP-ASS2-2,NAP-ASS2,2,,Alvar,44.26236111,-76.72755556,124,2.411,1.268,3.067,2.418769716,53.186,56.253,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.552739515,1.126055061,1.751285242,7.292873234,7.500199997,1.55523944,0.0084,0.0041,0.0043,,,,,,,,,,,,,,
33,2002,6/1/2002,2452427,151,-76.72755556,NAP-ASS2-2,NAP-ASS2,2,,Alvar,44.26236111,-76.72755556,124,3.226,1.35,2.727,2.02,51.303,54.03,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.796106901,1.161895004,1.651363073,7.162611256,7.350510186,1.42126704,0.0084,0.0041,0.0043,,,,,,,,,,,,,,
34,2002,6/1/2002,2452427,151,-76.72755556,NAP-ASS2-2,NAP-ASS2,2,,Alvar,44.26236111,-76.72755556,124,1.566,0.615,2.652,4.312195122,34.067,36.719,5.9,19.3,-7.9,27.2,822,489,19.4,39.5,802,1887,4541,168,169,140,1.251399217,0.784219357,1.628496239,5.83669427,6.05962045,2.076582558,0.0084,0.0041,0.0043,,,,,,,,,,,,,,
