Seq,xObs,yObs
529,1.320984481,5.907791466
530,1.371495534,5.736026499
531,0.864869932,4.274809937
532,0.9,4.150060241
533,0.780384521,4.150542133
534,0.850294067,4.060541836
535,0.678969808,4.18592881
536,1.304223907,6.131394621
537,1.019313494,5.623966572
538,0.986914383,6.31585307
539,1.302305648,6.09237228
540,1.241370211,5.859607495
541,0.771362431,4.197618372
542,1.405346932,6.019966777
543,1.179830496,5.634358881
544,1.536879956,5.774253198
545,0.831865374,3.366600659
546,1.359411637,7.475493295
547,1.359779394,7.769555972
548,1.204989627,7.06689465
549,1.40605832,7.304656049
550,1.060660172,6.748777667
551,1.054514106,5.944409138
552,1.269251748,6.051859218
553,1.249399856,5.878860434
554,1.197914855,6.178349294
555,1.055935604,5.928490533
556,1.346476884,6.123561055
557,1.092245394,5.123572972
558,1.097269338,5.461867812
559,1.250199984,5.413594
560,1.120714058,6.273675159
561,1.153689733,6.53345238
562,1.280624847,5.839349279
563,0.858487041,4.386912354
564,1.035857133,3.828576759
565,1.20664825,5.5156142
566,1.012916581,4.124075654
567,0.925742945,4.014349262
568,0.533853913,4.473030293
569,1.016857906,3.970138537
570,0.85322916,4.063003815
571,1.10408333,4.046109242
572,1.155854662,4.147047142
573,1.063954886,3.90230701
574,0.906642157,4.088398219
575,0.906642157,4.419275959
576,0.953414915,6.227439281
577,0.983361582,5.98473057
578,0.613188389,5.931020148
579,0.879204186,6.184658438
580,1.363451503,7.745385723
581,0.985900604,5.142081291
582,0.964365076,5.154415583
583,0.948683298,4.855615306
584,0.990959131,5.192783454
585,1.302689526,6.750555533
586,0.94127573,5.862337418
587,1.16747591,6.107045112
588,1.053565375,5.470374759
589,1.126055061,5.803705713
590,1.740114939,7.745514831
591,1.330037593,5.856022541
592,1.266491216,5.300188676
593,1.104988688,4.609880693
594,1.179830496,5.13838496
595,1.118481113,5.087337221
596,1.220655562,4.815599651
597,1.392479802,5.803705713
598,1.270432997,5.804653306
599,1.343130671,5.913797426
600,1.356465997,5.741254218
601,1.128716085,6.731715977
602,1.027131929,5.239179325
603,0.593295879,5.84260216
604,0.975704873,6.272080994
605,1.054514106,6.211521553
606,1.078424777,5.719440532
607,1.118033989,5.834123756
608,0.794355084,5.199134543
609,1.141490254,5.489171158
610,1.449827576,6.822609471
611,1.060660172,5.279867423
612,1.032956921,4.902244384
613,0.874642784,4.762877282
614,1.077961038,5.008991915
615,0.820365772,5.045889416
616,0.798122798,4.588572763
617,0.942337519,4.153432316
618,1.329285522,5.777023455
619,0.746993976,3.83588321
620,0.844393273,4.336127304
621,0.916515139,5.904743856
622,1.151520734,5.365817738
623,1.086278049,5.936749953
624,1.027618606,5.361622889
625,0.923038461,5.10597689
626,1.016857906,4.785498929
627,1.080740487,5.50590592
628,0.85732141,4.803540361
629,1.150651989,5.600892786
630,0.884872872,4.736559933
631,0.681175455,3.00499584
632,1.392120684,5.579516108
633,0.856738,3.813921866
634,0.883176087,4.179473651
635,1.411382301,5.204132973
636,0.81670068,4.964574503
637,0.986914383,5.408881585
638,0.743639698,4.703084095
639,0.897217922,5.89499788
640,0.97313925,5.934981045
641,1.072380529,5.937760521
642,1.46013698,6.885056282
643,1.075639345,5.876223277
644,1.082589488,5.957851962
645,1.105893304,5.922499472
646,1.081203034,4.579628806
647,1.126499001,4.374814282
648,1.204159458,4.32388714
649,1.189537725,4.452415075
650,1.206233808,4.583448483
651,1.489295135,6.778421645
652,1.090871211,6.16060062
653,0.986914383,5.541570175
654,0.836062199,5.607494984
655,1.054988152,6.434438592
656,0.721803297,5.005696755
657,1.1340194,5.252903959
658,0.996493853,5.060434764
659,0.774596669,4.454884959
660,0.994484791,4.181148168
661,1.190798052,3.989110176
662,1.202081528,4.146323673
663,1.378767566,4.511873225
664,1.122942563,3.801841659
665,1.426183719,4.101097414
666,0.749666593,6.313794422
667,0.85322916,5.276930926
668,0.847348807,6.23818884
669,0.875214259,5.65791481
670,0.93059121,5.421438923
671,1.076104084,5.555357774
672,0.920326029,5.962465933
673,0.98285299,6.120620884
674,0.986914383,6.289197087
675,0.932201695,6.335929293
676,0.692820323,3.166070119
677,0.995991968,3.726123991
678,1.009950494,3.344248795
679,0.905538514,3.910626548
680,0.599166087,2.703331278
681,0.852056336,3.601666281
682,0.682641927,3.821910517
683,0.978263768,3.751666296
684,0.890505474,3.534402354
685,0.977752525,3.613031968
686,1.368941197,6.436924732
687,1.407835218,6.268093809
688,0.930053762,5.797068225
689,1.170897092,4.972725611
690,0.909945053,6.162142485
691,0.95131488,3.72424489
692,0.981325634,3.87440318
693,0.889381808,3.714296703
694,0.966436754,3.959040288
695,1.126942767,4.708715324
696,0.81731267,3.663468302
697,0.916515139,3.580921669
698,0.570087713,4.053516991
699,0.845576726,4.00562105
700,0.802496106,4.313235445
701,1.056409012,5.682253074
702,1.26015872,6.276065647
703,1.125610945,5.865662793
704,1.351665639,6.107700058
705,1.042592922,5.830437376
706,0.671565336,3.360208327
707,0.85732141,3.375648086
708,0.985900604,3.242221461
709,0.795612971,3.23434692
710,0.897775027,3.230789377
711,1.098635517,4.852525116
712,1.045466403,5.336290847
713,0.889943818,3.775314556
714,1.030533842,4.151505751
715,1.03247276,5.298584717
716,1.61369142,5.662331675
717,1.545639026,5.453164219
718,1.617096163,5.920810755
719,1.516575089,5.764546817
720,1.712016355,5.7267792
721,1.292284798,6.137833494
722,1.328156617,5.921655174
723,1.317952958,5.4597619
724,1.237739876,5.371964259
725,1.29614814,5.673711307
726,1.426534262,6.687450934
727,1.516575089,6.448022953
728,1.583666632,6.532457424
729,1.570031847,6.473870558
730,1.515585695,6.830739345
731,1.404635184,6.154510541
732,1.237739876,5.293958821
733,1.347961424,5.883111422
734,1.116243701,5.861740356
735,1.389244399,6.294759725
736,1.267280553,5.265833267
737,1.21449578,5.338913747
738,1.186591758,4.505330177
739,1.065363788,5.287721627
740,1.20706255,4.743100252
741,1.418802312,8.112213015
742,1.690266251,8.172514913
743,1.347219359,7.959585416
744,1.543696861,7.918838299
745,1.636765102,8.132342836
746,1.118928058,6.947157692
747,1.58965405,7.034699709
748,1.427235089,6.881278951
749,1.10408333,6.637544727
750,1.427935573,6.940028818
751,1.323631369,7.465855611
752,1.234503949,7.656239286
753,1.161895004,7.4018241
754,1.208304597,7.268768809
755,1.191637529,7.243824956
756,1.536879956,8.338764897
757,1.570986951,8.518802733
758,1.218605761,7.326049413
759,1.372224471,7.097816566
760,1.431782106,8.027016881
761,1.630030675,7.54075593
762,0.876356092,5.489080069
763,1.342013413,7.227032586
764,1.314914446,7.165123865
765,1.395707706,7.656435202
766,1.199583261,7.348945503
767,0.890505474,5.271811833
768,1.359779394,7.03320695
769,1.391042774,5.681549085
770,1.27984374,6.978681824
771,1.156719499,7.115686896
772,1.483576759,6.913248151
773,1.20706255,7.113297407
774,1.149347641,6.717142249
775,1.160172401,7.124394711
776,1.239758041,6.733201319
777,1.151520734,6.503845017
778,1.206233808,6.287527336
779,1.165332571,6.063249954
780,1.1296017,6.624650934
781,1.190378091,6.106635735
782,1.263328936,6.252439524
783,1.131812705,5.602945654
784,1.271219887,5.910499133
785,1.351665639,6.594619019
786,1.18025421,6.19289916
787,1.124277546,5.736810961
788,1.322497637,5.885915392
789,1.277888884,6.06440434
790,1.176010204,6.044170745
791,1.585244461,5.391382012
792,1.537530488,5.124353618
793,1.368575902,5.201730481
794,1.471054044,5.352008969
795,0.949210198,4.085339643
796,1.368941197,8.784987194
797,1.365283853,8.283900048
798,1.433527119,8.12600763
799,1.383112432,8.195059487
800,1.387083271,8.228669394
801,1.188696765,8.05059004
802,1.237335848,7.830134098
803,1.20913192,7.897847808
804,1.279062156,8.26625671
805,1.202913131,7.76762512
806,1.228820573,5.644554898
807,1.505656003,6.018554644
808,1.533949152,6.073055244
809,1.405702671,6.201290188
810,1.304223907,6.078239877
811,1.383112432,8.095121988
812,0.562138773,3.286791749
813,1.411027994,7.899746831
814,0.394968353,3.857201058
815,1.47444905,7.861870007
816,1.449137675,7.005569213
817,1.398928161,7.193538768
818,1.362717872,7.515450752
819,1.468332387,7.125798201
820,1.271219887,6.643869355
821,1.15974135,5.704997809
822,0.762889245,4.429334036
823,0.956033472,5.039742057
824,1.190798052,5.536334527
825,1.235718415,6.08999179
826,0.960208311,5.18912324
827,1.173030264,4.842623256
828,1.190378091,5.071291749
829,0.819145897,5.05944661
830,1.094074952,4.855100411
831,1.265701387,7.191800887
832,1.338282481,7.248034216
833,1.207476708,7.061302996
834,1.303456942,6.857696406
835,1.341268057,7.491928991
836,1.19749739,6.45886987
837,1.028105053,6.438944013
838,0.985900604,6.230810541
839,1.037304198,6.383964286
840,0.943927963,6.372362199
841,1.337535046,8.04356886
842,1.333041635,8.065977932
843,1.177709642,7.932149772
844,0.997997996,6.177863708
845,1.23247718,8.018852786
846,1.186591758,7.623975341
847,1.105441088,7.945753583
848,1.113103769,8.180464534
849,0.990959131,6.654547317
850,1.147170432,8.275264346
851,1.263328936,7.110625851
852,1.233288287,6.561554694
853,1.25499004,7.4610321
854,1.324009063,6.58528663
855,1.294217911,6.733201319
856,1.372588795,6.534600217
857,1.307669683,6.822829325
858,1.390323703,6.430863084
859,1.207890724,6.574420127
860,1.177709642,6.467456996
861,1.248198702,7.913659078
862,0.938616002,6.301269713
863,0.933809402,6.033075501
864,0.893308457,7.378211165
865,1.444299138,8.091785959
866,1.343130671,5.596248744
867,1.19498954,5.034580419
868,1.059245014,4.993696026
869,1.096357606,5.482882454
870,1.281015222,5.556437708
871,1.244588285,6.339163983
872,1.334915728,6.269369984
873,1.141490254,5.737421023
874,1.281015222,5.534437641
875,1.356097342,5.733846876
876,1.303840481,6.028930253
877,1.369671493,5.322499413
878,1.677498137,6.216268977
879,1.49231364,6.117352368
880,1.484250653,5.856193303
881,1.244186481,6.428919038
882,1.29305839,6.152722974
883,1.175584961,6.36254666
884,1.360882067,6.316802989
885,0.883176087,5.668685915
886,1.350925609,5.023146424
887,1.236527396,5.103332245
888,1.464923206,4.98998998
889,1.531012737,5.19644109
890,1.42968528,5.21440313
891,1.18448301,6.243396512
892,1.250599856,5.942894917
893,1.294990347,5.721625643
894,0.888819442,5.758819323
895,1.260555433,5.865321816
896,1.245391505,6.650639067
897,1.124277546,6.584982916
898,1.238547536,6.631968034
899,1.071447619,6.842075708
900,0.999499875,6.245958693
901,1.229634092,7.156256004
902,1.026157883,6.902318451
903,1.020294075,7.137506567
904,1.141490254,7.145628034
905,1.186170308,7.338051512
906,1.225561096,7.51598297
907,1.258570618,7.222464953
908,0.932737905,5.952478475
909,1.438401891,7.716864648
910,1.158878768,7.88435159
911,1.055935604,6.961537187
912,0.627694193,6.95068342
913,0.862554346,5.212676856
914,0.994987437,7.251206796
915,1.129158979,6.887234568
916,1.267280553,6.871462726
917,1.101816682,6.329770928
918,1.098635517,6.469080306
919,1.023718711,6.250679963
920,1.252996409,6.339163983
921,1.003992032,5.755432217
922,1.189957982,5.963975184
923,1.108602724,5.729223333
924,1.274362586,5.688848741
925,1.283354978,5.747173218
926,1.649545392,6.694624709
927,1.630644045,5.691836259
928,1.538505769,5.996915874
929,1.516575089,5.902541825
930,1.679880948,6.392104505
931,1.031018914,5.187099382
932,1.236527396,4.645535491
933,1.221474519,5.187774089
934,0.870057469,4.972725611
935,1.308051987,4.859526726
936,1.122942563,6.101229384
937,1.15974135,5.72730303
938,1.248599215,6.172843753
939,1.313011805,6.35460463
940,1.181101181,6.050619803
941,1.484250653,6.832569063
942,1.233693641,5.309613922
943,1.569076161,6.894998187
944,1.389244399,5.808528213
945,1.483576759,6.927120614
946,1.261744824,5.702630972
947,1.077961038,5.902202979
948,1.062544117,5.772954183
949,0.869482605,5.072573311
950,1.251798706,5.498908983
951,1.071447619,6.105161751
952,1.084896308,6.291820086
953,0.989444288,6.3903834
954,1.022741414,6.561783294
955,1.26015872,6.575788926
956,1.108602724,4.471465084
957,1.207890724,4.621688003
958,1.163615057,4.521725334
959,0.991967741,4.991592932
960,0.876926451,4.333243589
961,1.264120247,5.051732376
962,1.237739876,5.019063658
963,1.083512806,4.630766675
964,0.799374756,3.836274234
965,1.151520734,4.83745801
966,1.190378091,5.831723587
967,1.005484958,6.05879526
968,1.031988372,5.673711307
969,1.1027239,6.149715441
970,1.040672859,5.949621837
971,1.272006289,7.714207672
972,1.428285686,7.334848328
973,0.731436942,5.50799419
974,0.94127573,5.125914553
975,0.527257053,4.897652499
976,1.300769003,5.341067309
977,1.148041811,5.115564485
978,1.18025421,5.509990926
979,1.264911064,5.452338948
980,1.148912529,5.703858343
981,0.945515732,4.935281147
982,1.135341358,4.728424685
983,0.728697468,5.169912959
984,1.094988584,4.97634404
985,1.00895986,4.993395638
986,1.047854952,6.994426352
987,0.923038461,5.265548404
988,1.056882207,7.299726022
989,1.179830496,7.388233889
990,0.840238062,6.136367003
991,1.054988152,5.645883456
992,1.10408333,5.02782259
993,1.254591567,5.3294465
994,1.4,6.52755697
995,1.246194206,5.395183037
996,1.19749739,5.029314069
